,idnum,p6g24_int,p6g25_int,p6g26_int,p6h1_int,p6h2_int,p6h3_int,p6h4_1_int,p6h4_2_int,p6h4_3_int,p6h4_4_int,p6h4_5_int,p6h4_6_int,p6h4_7_int,p6h4_8_int,p6h5_int,p6h6_int,p6h7_int,p6h8_int,p6h9_int,p6h10_int,p6h11_int,p6h12_int,p6h13_int,p6h14_int,p6h15_int,p6h16_int,p6h17_int,p6h18_int,p6h19_int,p6h20_int,p6h21_int,p6h22_int,p6h23_int,p6h24_int,p6h25_int,p6h26_int,p6h27_int,p6h28_int,p6h29_int,p6h30_int,p6h31_int,p6h32_int,p6h33_int,p6h34_int,p6h35_int,p6h36_int,p6h37_int,p6h38_int,p6h39_int,p6h40_int,p6h41_int,p6h42_int,p6h43_int,p6h44_int,p6h45_int,p6h46_int,p6h47_int,p6h48_int,p6h49_int,p6h50_int,p6h51_int,p6h52_int,p6h53_int,p6h54_int,p6h55_int,p6h56_int,p6h57_int,p6h58_int,p6h59_int,p6h60_int,p6h61_int,p6h62_int,p6h63_int,p6h64_int,p6h65_int,p6h66_int,p6h67_int,p6h68_int,p6h69_int,p6h70_int,p6h71_int,p6h72_int,p6h73_int,p6h74_int,p6h75_int,p6h76_int,p6h77_int,p6h78_int,p6h79a_int,p6h79_int,p6h80_int,p6h81_int,p6h82_int,p6h83_int,p6h84_int,p6h85_int,p6h86_int,p6h87a_int,p6h87b_int,p6h87c_int,p6h87d_int,p6h87e_int,p6h87f_int,p6h87g_int,p6h87h_int,p6h88_int,p6h89_int,p6h90_int,p6h91_int,p6h92_int,p6h93_int,p6h94_int,p6h95a_int,p6h95b_int,p6h95c_int,p6h95d_int,p6h95e_int,p6h96_int,p6h97_int,p6h98_int,p6h99_int,p6h100_int,p6h101_int,p6h102_int,p6h103a_int,p6h103b_int,p6i1_int,p6i2_int,p6i3_int,p6i4_int,p6i5_int,p6i6_int,p6i7_int,p6i8_int,p6i9_int,p6i10_int,p6i11_int,p6i12_int,p6i13_int,p6i14_int,p6i15_int,p6i16_int,p6i17_int,p6i18_int,p6i19_int,p6i20_1_int,p6i20_2_int,p6i20_3_int,p6i20_4_int,p6i20_5_int,p6i20_6_int,p6i20_7_int,p6i20_8_int,p6i21_int,p6i22_int,p6i23_int,p6i24_int,p6i25_int,p6i26_int,p6i27_int,p6i28_int,p6i29_int,p6i30_int,p6i31_int,p6i32_int,p6i33_int,p6j1_int,p6j2_int,p6j3_int,p6j4_int,p6j5_int,p6j6_int,p6j7_int,p6j8_int,p6j9_int,p6j10_int,p6j11_int,p6j12_int,p6j13_int,p6j14_int,p6j15_int,p6j16_int,p6j17_int,p6j18_int,p6j19_int,p6j20_int,p6j21_int,p6j22_int,p6j23_int,p6j24_int,p6j25_int,p6j26_int,p6j27_int,p6j28_int,p6j29_int,p6j30_int,p6j31_int,p6j32_int,p6j33_int,p6j34_int,p6j35_int,p6j36_int,p6j37_int,p6j38_int,p6j39_int,p6j40_int,p6j41_int,p6j42_int,p6j43_int,p6j44_int,p6j45_int,p6j46_int,p6j47_int,p6j48_int,p6j49_int,p6j50_int,p6j51_int,p6j52_int,p6j53_int,p6j54_int,p6j55_int,p6j56_int,p6j57_int,p6j58_int,p6j59_int,p6j60a_int,p6j60b_int,p6j61_int,p6j62_1_int,p6j62_2_int,p6j62_3_int,p6j62_4_int,p6j62_101_int,p6j62_102_int,p6j63_int,p6j64_1_int,p6j64_2_int,p6j64_3_int,p6j64_4_int,p6k1_int,p6k2_int,p6k3_1_int,p6k3_2_int,p6k3_3_int,p6k3_4_int,p6k3_5_int,p6k3_6_int,p6k3_7_int,p6k3_8_int,p6k3_9_int,p6k3_10_int,p6k3_11_int,p6k3a_int,p6k3b_int,p6k4_int,p6k5_int,p6k6_int,p6k7_int,p6k8_int,p6k9_int,p6k10a_int,p6k10_int,p6k11aa_int,p6k11a_int,p6k11b_int,p6k12_int,p6k13_int,p6k14_int,p6k15_int,p6k16_int,p6k17_int,p6k19_code_pub_int,p6k20_int,p6k20a_int,p6k21_int,p6k22_int,p6k23_int,p6k24_int,p6k24a_int,p6k25_int,p6k26_int,p6k27_int,p6k28_int,p6k29_int,p6k30_int,p6k31a_int,p6k31_int,p6k32_int,p6k33_int,p6k34_int,p6k35_int,p6k36_int,p6k36_code_pub_int,p6k37_int,p6k38_int,p6k39_int,p6k40_int,p6k41_int,p6k42_1_int,p6k42_2_int
83,0084,,,,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,16.0,3.0,2.0,1.0,1.0,20.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,,4.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,2.0,,2.0,2.0,2.0,,1.0,2.0,1.0,6.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,,,,,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,1.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,4.0,1.0,8.5,1.0,7.0,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
84,0085,,,,1.0,3.0,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,300.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,35.0,2.0,1.0,350.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,16800.0,,52.0,1.0,,2.0,,,,,,,,
85,0086,,2.0,2.0,2.0,4.0,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,16.0,3.0,2.0,1.0,1.0,16.0,1.0,4.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1500.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,,,,,750.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,1.0,7500.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,35.0,2.0,1.0,650.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,37000.0,,52.0,1.0,,2.0,,,,,,,,
86,0087,,,,2.0,2.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,21.0,3.0,2.0,1.0,1.0,20.0,1.0,2.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,1.0,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,6.0,2.0,2.0,,,,,1.0,,,,,2000.0,1.0,2.0,2.0,2.0,2.0,2.0,,,1.0,2.0,,2.0,1.0,,,2.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,3.0,,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
87,0088,,,,1.0,4.0,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,1.0,11.0,1.0,1.0,0.0,1.0,13.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,,,,,650.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2000.0,,2.0,,2.0,1.0,3000.0,,2.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,40.0,2.0,1.0,700.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,48.0,1.0,9000.0,,28.0,1.0,,2.0,,,,,,,,
89,0090,,,,2.0,3.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,20.0,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,,,,,700.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,40.0,2.0,1.0,21.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,36000.0,,52.0,1.0,,2.0,,,,,,,,
92,0093,2.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,22.0,0.0,,0.0,1.0,19.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,4.0,,7000.0,502.0,1.0,,,,,,1.0,,2.0,,1.0,2.0,,2.0,1.0,,,1.0,1100.0,,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,2.0,2.0,2.0,,3.0,2.0,,1.0,,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
93,0094,,,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,15.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,,,1.0,,,,,890.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,,2.0,1.0,1200.0,,2.0,,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,2.0,2.0,2.0,1.0,60.0,2.0,1.0,3000.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,46000.0,,52.0,1.0,,2.0,,,,,,,,
94,0095,,,,3.0,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,21.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,,,,,,4.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,3200.0,,1.0,5964.0,,1.0,794.0,,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,2.0,2.0,1.0,3.0,,1.0,8.0,1.0,4.0,2014.0,1.0,2.0,2.0,1.0,60.0,2.0,1.0,8.86,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,6000.0,,12.0,1.0,,2.0,,,,,,,,
95,0096,,,,2.0,1.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,23.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,15000.0,0.0,0.0,1.0,,,,,,2.0,2.0,2.0,,2.0,2.0,,2.0,1.0,149.0,,1.0,,,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,40.0,2.0,1.0,400.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,9600.0,,52.0,1.0,,2.0,,,,,,,,
96,0097,,,,2.0,4.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,18.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,,,,,450.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,1.0,24000.0,,1.0,300.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,3.0,,1.0,10.0,1.0,2.0,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
97,0098,,,,2.0,3.0,2.0,,,,,,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,1.0,3.0,2.0,1.0,,,,1.0,4.0,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,23.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,,,,,656.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,40.0,2.0,1.0,500.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,28000.0,,52.0,1.0,,2.0,,,,,,,,
99,0100,,,,1.0,2.0,2.0,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,18.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,,,,,2000.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,60.0,1.0,1.0,130000.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,130000.0,,52.0,1.0,,2.0,,,,,,,,
100,0101,2.0,,,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,1.0,4.0,,,2.0,,,,,,,,,,,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,19.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,5.0,1.0,2.0,,,,,1.0,,,,,900.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,1.0,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,2.0,1.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,4.0,2.0,,1.0,1.0,2011.0,2.0,2.0,2.0,2.0,40.0,2.0,,14.89,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,2.0,,,,,,,,
102,0103,,,,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,14.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,1.0,14.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,4.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,,,,1.0,3.0,1.0,1.0,1.0,4.0,5.0,2.0,,,,,,,,,,,2.0,,2.0,2.0,2.0,,2.0,2.0,1.0,6.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,,,,,780.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,,2.0,1.0,3600.0,,1.0,8500.0,,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,,2.0,1.0,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,2.0,2.0,2.0,1.0,4.0,,1.0,15.0,1.0,1.0,2015.0,,2.0,2.0,2.0,20.0,2.0,1.0,120.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,,1.0,8.0,1.0,,2.0,,,,,,,,
103,0104,,,,2.0,4.0,2.0,,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,2.0,20.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,14.0,3.0,2.0,2.0,1.0,14.0,1.0,3.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,2.0,,,4.0,4.0,3.0,4.0,4.0,,4.0,,,,1.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1000.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,,,,,750.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,,1.0,1.0,4440.0,,1.0,289.0,,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,2.0,,1.0,5.0,2012.0,1.0,0.0,0.0,0.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,2.0,2.0,2.0,2.0,,4.0,1.0,9.0,1.0,3.0,2012.0,2.0,1.0,2.0,2.0,40.0,2.0,1.0,640.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,40.0,1.0,35000.0,,1.0,1.0,,2.0,,,,,,,,
